id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5960929,2023-08-11T07:30:00,2023-08-11T03:30:00,0.305,2023-03-02T00:00:00,minor_league_baseball,2,0.657,Haley Toyota Field at Salem Memorial Ballpark,US,VA,0.37,15,17.0,33.0,19.0,56.0,20.0,sports,Salem Red Sox,27,0.3,Augusta GreenJackets,21,0.33,0
5930267,2023-08-11T07:30:00,2023-08-11T03:30:00,0.265,2023-02-01T00:00:00,music_festival,1,0.611,Pocono Raceway,US,PA,0.57,5,2.0,316.0,305.0,333.0,311.0,concert,Elements Music Festival,5,0.39,None,0,0.0,0
5810655,2023-08-11T07:30:00,2023-08-11T03:30:00,0.385,2022-09-14T00:00:00,nascar,3,0.71,Indianapolis Motor Speedway,US,IN,0.75,5,1.0,60.0,60.0,61.0,60.0,sports,TSport 200,2,0.36,NASCAR Racing,44,0.64,0
5766291,2023-08-11T08:30:00,2023-08-11T03:30:00,0.452,2022-08-01T00:00:00,golf,2,0.744,TPC Southwind,US,TN,0.53,8,10.0,248.0,84.0,656.0,157.0,sports,FedEx St. Jude Invitational,8,0.42,PGA Tour,184,0.57,0
5960822,2023-08-11T08:30:00,2023-08-11T03:30:00,0.264,2023-03-02T00:00:00,minor_league_baseball,2,0.649,Modern Woodmen Park,US,IA,0.37,15,16.0,40.0,20.0,57.0,39.0,sports,Quad Cities River Bandits,23,0.29,Cedar Rapids Kernels,23,0.34,0
5932580,2023-08-11T09:30:00,2023-08-11T03:30:00,0.212,2023-02-02T00:00:00,music_festival,1,0.628,Telluride Town Park,US,CO,0.57,8,1.0,475.0,475.0,475.0,475.0,concert,Telluride Jazz Festival,4,0.33,None,0,0.0,0
5990604,2023-08-11T09:30:00,2023-08-11T03:30:00,0.338,2023-04-06T00:00:00,sports,1,0.685,Peter Barton Stadium,US,CO,0.35,3,1.0,130.0,132.0,133.0,130.0,sports,Premier Lacrosse League,12,0.48,None,0,0.0,0
5976091,2023-08-11T09:30:00,2023-08-11T03:30:00,0.355,2023-03-22T00:00:00,music_festival,1,0.64,Planet Bluegrass Ranch,US,CO,0.44,4,4.0,169.0,176.0,186.0,165.0,concert,Rocky Mountain Folk Festival,4,0.28,None,0,0.0,0
5976092,2023-08-11T09:30:00,2023-08-11T03:30:00,0.4,2023-03-22T00:00:00,music_festival,1,0.662,Planet Bluegrass Ranch,US,CO,0.44,4,1.0,407.0,404.0,414.0,407.0,concert,Rocky Mountain Folk Festival,4,0.28,None,0,0.0,0
5851145,2023-08-11T10:30:00,2023-08-11T03:30:00,0.283,2022-10-23T00:00:00,family,1,0.656,Le Theatre Des Arts at Paris Las Vegas,US,NV,0.54,142,2.0,50.0,46.0,55.0,46.0,theater,Eiffel Tower Experience,142,0.33,None,0,0.0,0
6097958,2023-08-11T10:30:00,2023-08-11T03:30:00,0.302,2022-12-20T00:00:00,music_festival,10,0.619,Albion Fairgrounds,Canada,BC,0.31,4,1.0,816.0,816.0,837.0,816.0,concert,Rock Maple Ridge Music Festival,4,0.26,Chilliwack,2,0.28,0
5954350,2023-08-11T12:00:00,2023-08-11T08:00:00,0.504,2023-02-22T00:00:00,golf,1,0.749,Trump National Golf Club - Bedminster,US,NJ,0.0,4,1.0,291.0,286.0,299.0,291.0,sports,LIV Golf Invitational,14,0.44,None,0,0.0,0
