id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6067529,2023-08-04T07:30:00,2023-08-04T03:30:00,0.49,2022-11-03T00:00:00,music_festival,1,0.675,Downsview Park,Canada,ON,0.37,4,1.0,415.0,415.0,425.0,415.0,concert,Veld Music Festival,4,0.33,None,0,0.0,1
5766708,2023-08-04T07:30:00,2023-08-04T03:30:00,0.558,2022-08-02T00:00:00,music_festival,71,0.786,Parc Jean-Drapeau,Canada,QC,0.56,13,12.0,1487.0,496.0,4165.0,853.0,concert,Osheaga Music and Arts Festival,4,0.53,The National,21,0.55,0
5954300,2023-08-04T07:30:00,2023-08-04T03:30:00,0.0,2023-02-22T00:00:00,golf,1,0.0,The Greenbrier,US,WV,0.33,4,2.0,191.0,167.0,219.0,171.0,sports,LIV Golf Invitational,18,0.0,None,0,0.0,1
5766337,2023-08-04T07:30:00,2023-08-04T03:30:00,0.403,2022-08-01T00:00:00,pga,2,0.704,Sedgefield Country Club,US,NC,0.45,5,13.0,107.0,66.0,299.0,91.0,sports,Wyndham Championship,5,0.36,PGA Tour,26,0.6,1
5766709,2023-08-04T07:30:00,2023-08-04T03:30:00,0.467,2022-08-02T00:00:00,music_festival,25,0.739,Parc Jean-Drapeau,Canada,QC,0.56,13,48.0,652.0,166.0,10342.0,416.0,concert,Osheaga Music and Arts Festival,4,0.53,The Flaming Lips,12,0.53,0
5843763,2023-08-04T07:30:00,2023-08-04T03:30:00,0.304,2022-10-13T00:00:00,minor_league_baseball,2,0.637,Virginia Credit Union Stadium,US,VA,0.44,17,25.0,36.0,25.0,60.0,31.0,sports,Fredericksburg Nationals,27,0.29,Salem Red Sox,35,0.3,1
5891143,2023-08-04T07:30:00,2023-08-04T03:30:00,0.352,2022-12-06T00:00:00,nascar,3,0.678,Michigan International Speedway,US,MI,0.6,4,5.0,101.0,45.0,332.0,48.0,sports,ARCA Menards Series,10,0.54,NASCAR Racing,48,0.63,0
6052755,2023-08-04T08:30:00,2023-08-04T03:30:00,0.475,2023-06-11T00:00:00,indycar,2,0.689,Big Machine Music City Grand Prix,US,TN,0.3,4,4.0,206.0,143.0,329.0,159.0,sports,Music City Grand Prix,4,0.27,IndyCar Series,7,0.47,1
6052756,2023-08-04T08:30:00,2023-08-04T03:30:00,0.402,2023-06-11T00:00:00,indycar,2,0.658,Big Machine Music City Grand Prix,US,TN,0.3,4,581.0,150.0,16.0,1407.0,166.0,sports,Music City Grand Prix,4,0.27,IndyCar Series,7,0.47,1
5868722,2023-08-04T08:30:00,2023-08-04T03:30:00,0.387,2022-11-03T00:00:00,music_festival,6,0.695,Avenue of the Saints Amphitheater,US,IA,0.51,4,3.0,214.0,211.0,217.0,213.0,concert,Hinterland Music Festival,4,0.46,Houndmouth,7,0.54,1
6025986,2023-08-04T08:30:00,2023-08-04T03:30:00,0.463,2023-05-18T00:00:00,concert,1,0.721,Washington Town and Country Fair MO,US,MO,0.38,3,4.0,128.0,78.0,194.0,90.0,concert,Nelly,13,0.56,None,0,0.0,1
5861997,2023-08-04T08:30:00,2023-08-04T03:30:00,0.567,2022-11-03T00:00:00,music_festival,24,0.787,Avenue of the Saints Amphitheater,US,IA,0.51,4,3.0,457.0,454.0,473.0,457.0,concert,Hinterland Music Festival,4,0.46,Angel Olsen,23,0.55,1
6060746,2023-08-04T09:30:00,2023-08-04T03:30:00,0.442,2023-06-19T00:00:00,music_festival,6,0.72,Big Sky Events Arena,US,MT,0.44,3,1.0,641.0,641.0,657.0,641.0,concert,Wildlands Festival,3,0.42,The Breeders,19,0.68,0
5968041,2023-08-04T10:30:00,2023-08-04T03:30:00,0.328,2023-03-14T00:00:00,sports,1,0.662,Borleske Stadium,US,WA,0.31,3,5.0,46.0,37.0,51.0,48.0,sports,Walla Walla Sweets,3,0.29,None,0,0.0,0
5910663,2023-08-04T10:30:00,2023-08-04T03:30:00,0.489,2023-01-08T00:00:00,music_festival,16,0.747,Gorge Amphitheatre,US,WA,0.77,15,1.0,837.0,837.0,859.0,837.0,concert,Watershed Festival,4,0.47,Luke Bryan,36,0.64,1
