id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6067529,2023-08-04T07:30:00,2023-08-04T03:30:00,0.49,2022-11-03T00:00:00,music_festival,1,0.675,Downsview Park,Canada,ON,0.37,4,1.0,415.0,415.0,425.0,415.0,concert,Veld Music Festival,4,0.33,None,0,0.0,0
5954300,2023-08-04T07:30:00,2023-08-04T03:30:00,0.0,2023-02-22T00:00:00,golf,1,0.0,The Greenbrier,US,WV,0.33,4,2.0,191.0,167.0,219.0,171.0,sports,LIV Golf Invitational,18,0.0,None,0,0.0,0
5766337,2023-08-04T07:30:00,2023-08-04T03:30:00,0.403,2022-08-01T00:00:00,pga,2,0.704,Sedgefield Country Club,US,NC,0.45,5,13.0,107.0,66.0,299.0,91.0,sports,Wyndham Championship,5,0.36,PGA Tour,26,0.6,0
5843763,2023-08-04T07:30:00,2023-08-04T03:30:00,0.304,2022-10-13T00:00:00,minor_league_baseball,2,0.637,Virginia Credit Union Stadium,US,VA,0.44,17,25.0,36.0,25.0,60.0,31.0,sports,Fredericksburg Nationals,27,0.29,Salem Red Sox,35,0.3,0
6052755,2023-08-04T08:30:00,2023-08-04T03:30:00,0.475,2023-06-11T00:00:00,indycar,2,0.689,Big Machine Music City Grand Prix,US,TN,0.3,4,4.0,206.0,143.0,329.0,159.0,sports,Music City Grand Prix,4,0.27,IndyCar Series,7,0.47,0
6052756,2023-08-04T08:30:00,2023-08-04T03:30:00,0.402,2023-06-11T00:00:00,indycar,2,0.658,Big Machine Music City Grand Prix,US,TN,0.3,4,581.0,150.0,16.0,1407.0,166.0,sports,Music City Grand Prix,4,0.27,IndyCar Series,7,0.47,0
5868722,2023-08-04T08:30:00,2023-08-04T03:30:00,0.387,2022-11-03T00:00:00,music_festival,6,0.695,Avenue of the Saints Amphitheater,US,IA,0.51,4,3.0,214.0,211.0,217.0,213.0,concert,Hinterland Music Festival,4,0.46,Houndmouth,7,0.54,0
6025986,2023-08-04T08:30:00,2023-08-04T03:30:00,0.463,2023-05-18T00:00:00,concert,1,0.721,Washington Town and Country Fair MO,US,MO,0.38,3,4.0,128.0,78.0,194.0,90.0,concert,Nelly,13,0.56,None,0,0.0,0
5861997,2023-08-04T08:30:00,2023-08-04T03:30:00,0.567,2022-11-03T00:00:00,music_festival,24,0.787,Avenue of the Saints Amphitheater,US,IA,0.51,4,3.0,457.0,454.0,473.0,457.0,concert,Hinterland Music Festival,4,0.46,Angel Olsen,23,0.55,0
5910663,2023-08-04T10:30:00,2023-08-04T03:30:00,0.489,2023-01-08T00:00:00,music_festival,16,0.747,Gorge Amphitheatre,US,WA,0.77,15,1.0,837.0,837.0,859.0,837.0,concert,Watershed Festival,4,0.47,Luke Bryan,36,0.64,0
5884873,2023-08-04T22:59:00,2023-08-04T03:30:00,0.0,2022-12-01T00:00:00,music_festival,1,0.0,Laketown Ranch Music and Recreation Park,Canada,BC,0.0,6,,,,,,concert,Sunfest Country Music Festival,6,0.0,None,0,0.0,0
6086503,2023-08-04T23:30:00,2023-08-04T18:30:00,0.0,2023-07-10T00:00:00,concert,1,0.0,Alys Stephens Center,US,AL,0.25,6,,,,,,concert,Jacquelyn's Jewels,1,0.0,None,0,0.0,0
5967886,2023-08-04T23:35:00,2023-08-04T18:35:00,0.361,2023-03-14T00:00:00,sports,1,0.668,Simmons Field,US,WI,0.36,5,4.0,42.0,28.0,49.0,43.0,sports,Kenosha Kingfish,7,0.3,None,0,0.0,0
6017453,2023-08-04T23:45:00,2023-08-04T18:45:00,0.356,2023-05-08T00:00:00,baseball,1,0.665,U.S. Steel Yard,US,IN,0.42,14,34.0,51.0,43.0,55.0,52.0,sports,Gary SouthShore RailCats,20,0.29,None,0,0.0,0
5816453,2023-08-05T00:00:00,2023-08-04T20:00:00,0.395,2022-09-20T00:00:00,theater,1,0.685,Westside Theatre Upstairs,US,NY,0.69,594,20.0,677.0,407.0,1116.0,661.0,theater,Little Shop of Horrors,622,0.44,None,0,0.0,0
6070891,2023-08-05T00:00:00,2023-08-04T20:00:00,0.233,2023-06-26T00:00:00,concert,2,0.595,Beachland Ballroom,US,OH,0.51,17,1.0,48.0,41.0,52.0,46.0,concert,Big Sandy And His Fly-Rite Boys,1,0.39,Big Sandy,1,0.4,0
6059265,2023-08-05T00:00:00,2023-08-04T20:00:00,0.328,2023-06-17T00:00:00,broadway_tickets_national,1,0.645,Ogunquit Playhouse,US,ME,0.42,23,14.0,159.0,106.0,216.0,140.0,theater,On Your Feet,55,0.33,None,0,0.0,0
6046071,2023-08-05T00:00:00,2023-08-04T18:00:00,0.41,2023-06-05T00:00:00,comedy,2,0.699,Rio Rancho Events Center,US,NM,0.67,14,305.0,376.0,99.0,1462.0,287.0,theater,Ja Rule,9,0.55,Ashanti,9,0.55,0
5986216,2023-08-05T00:00:00,2023-08-04T20:00:00,0.397,2023-04-03T00:00:00,broadway_tickets_national,1,0.668,New World Stages - Stage 3,US,NY,0.5,35,6.0,326.0,182.0,443.0,343.0,theater,Rock and Roll Man - The Alan Freed Story,35,0.34,None,0,0.0,0
5721049,2023-08-05T00:00:00,2023-08-04T20:00:00,0.47,2022-06-06T00:00:00,broadway_tickets_national,1,0.724,Peace Concert Hall At The Peace Center,US,SC,0.6,37,4.0,282.0,174.0,380.0,258.0,theater,Wicked,611,0.48,None,0,0.0,0
6065524,2023-08-05T00:00:00,2023-08-04T20:00:00,0.276,2023-06-21T00:00:00,concert,1,0.618,Black Cat,US,DC,0.51,9,1.0,56.0,55.0,56.0,56.0,concert,Rah Digga,2,0.24,None,0,0.0,0
5921951,2023-08-05T00:00:00,2023-08-04T20:00:00,0.365,2023-01-21T00:00:00,theater,1,0.669,Warner Theatre - CT,US,CT,0.42,7,7.0,149.0,108.0,172.0,170.0,theater,Spongebob Squarepants the Musical,22,0.34,None,0,0.0,0
6041156,2023-08-05T00:00:00,2023-08-04T20:00:00,0.375,2023-05-31T00:00:00,broadway_tickets_national,1,0.67,Bristol Valley Theater,US,NY,0.41,20,3.0,91.0,91.0,92.0,91.0,theater,Driving Miss Daisy,10,0.0,None,0,0.0,0
6063328,2023-08-05T00:00:00,2023-08-04T20:00:00,0.292,2023-06-20T00:00:00,concert,1,0.626,Canal Club,US,VA,0.43,11,3.0,98.0,67.0,155.0,72.0,concert,Arrows In Action,6,0.29,None,0,0.0,0
5884805,2023-08-05T00:00:00,2023-08-04T19:00:00,0.522,2022-11-30T00:00:00,wnba,2,0.746,Target Center,US,MN,0.79,40,21.0,100.0,49.0,439.0,81.0,sports,Minnesota Lynx,21,0.48,New York Liberty,24,0.6,0
6033952,2023-08-05T00:00:00,2023-08-04T20:00:00,0.316,2023-05-20T00:00:00,concert,1,0.64,Mahaiwe Performing Arts Center,US,MA,0.25,2,4.0,95.0,73.0,128.0,76.0,concert,Bela Fleck,12,0.4,None,0,0.0,0
6040554,2023-08-05T00:00:00,2023-08-04T20:00:00,0.266,2023-05-31T00:00:00,concert,1,0.614,Narrows Center for the Arts,US,MA,0.33,5,2.0,109.0,107.0,111.0,109.0,concert,Jesse Cook,24,0.31,None,0,0.0,0
6059138,2023-08-05T00:00:00,2023-08-04T19:00:00,0.309,2023-06-17T00:00:00,comedy,1,0.639,The Second City Mainstage Theatre,US,IL,0.48,76,2.0,151.0,128.0,178.0,128.0,theater,The Second City,29,0.31,None,0,0.0,0
6057636,2023-08-05T00:20:00,2023-08-04T17:20:00,0.502,2023-06-14T00:00:00,nfl,2,0.763,Lumen Field,US,WA,0.87,30,33.0,46.0,39.0,73.0,44.0,sports,Seahawks Football Fest,1,0.4,Seattle Seahawks,21,0.77,0
6050237,2023-08-05T00:30:00,2023-08-04T20:30:00,0.281,2023-06-07T00:00:00,comedy,1,0.602,Off the Hook Comedy Club,US,Florida (fl),0.53,46,2.0,96.0,95.0,97.0,95.0,theater,T.J. Miller	,14,0.35,None,0,0.0,0
6003373,2023-08-05T00:30:00,2023-08-04T19:30:00,0.274,2023-04-19T00:00:00,broadway_tickets_national,1,0.635,McLeod Theater,US,IL,0.0,4,28.0,56.0,48.0,84.0,54.0,theater,Footloose,11,0.28,None,0,0.0,0
